학년도,지원인원(명),응시인원(명),응시율(퍼센트)
1994,746424,721489,96.7
1995,781749,757488,96.9
1996,840661,809867,96.3
1997,824374,795338,96.5
1998,885321,854272,96.5
1999,868643,839837,96.7
2000,896122,868366,96.9
2001,872297,850305,97.5
2002,739129,718441,97.2
2003,675922,655384,97
2004,674154,642583,95.3
2005,610257,574218,94.1
2006,593806,554345,93.4
2007,588899,551884,93.7
2008,584934,550588,94.1
2009,588839,559475,95
2010,677834,638216,94.2
2011,712227,668991,93.9
2012,693631,648946,93.6
2013,668522,621336,92.9
2014,650747,606813,93.2
2015,640621,594835,92.9
2016,631187,585332,92.7
2017,605987,552297,91.1
2018,593527,531327,89.5
2019,594924,530220,89.1
2020,548734,484737,88.3
2021,493434,421034,85.3
2022,509821,448138,87.9
